Pathway Number,Metabolite,Broad pathway description,Oxidation State,"Kind of Metabolism (Synthesis, Degradation, Transport)",Step,StepName,Enzyme,Step description,Name,Definition,KEGG Reaction,KEGG Enzyme,KO,Category of Metabolism,Gene,EnzymeName,Diagnostic,DeltaGm,DeltaG0,ATP Requirement,ATP Creation,O2 Requirement,NAD+/NADP+ Req.,NADH/NADPH Requirement,FAD Req.,FADH2 Requirement,Notes
50,Sulfopyruvate,Sulfopyruvate Degradation,,,6,,3,amination,,,R02619,2.6.1.1,K00813,,aspC,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,6,,4,amination,,,R02619,2.6.1.1,K11358,,yhdR,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,6,,5,amination,,,R02619,2.6.1.1,K14454,,got1,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,6,,6,amination,,,R02619,2.6.1.1,K14455,,got2,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,6,,7,amination,,,R05651,2.6.1.1,K15849,,pat,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,7,,1,hydrolysis to form ammonia,,,R07634,4.4.1.25,K17950,,cuyA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Sulfoacetaldehyde,Sulfoacetaldehyde Degradation,,,1,,1,phosphorylation,,,R05651,2.3.3.15,K03852,,xsc,,,,,,,,,,,,
51,Sulfoacetaldehyde,Sulfoacetaldehyde Degradation,,,1,,2,,,,,,xsc_align,,xsc_hmm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,S-adenosyl-L-homocysteine,S-adenosyl-L-homocysteine degradation,,,1,,1,,,,R00192,3.3.1.1,K01251,,ahcY,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,SQDG membrane sulfolipids,SQDG membrane sulfolipids synthesis,,,1,,1,,,,R05775,3.13.1.1,K06118,,,,,,,,,,,,,,
53,SQDG membrane sulfolipids,SQDG membrane sulfolipids synthesis,,,2,,1,,,,R06867,NA,K06119,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
